% T [K]		Rqq.0 [m2s/JK]	Rqµ.0 [m2s/kgK]	Rµµ.0 [Jm2s/kg2K]

260		4.24E-07	3.68E-02	4.73E+03
261		4.09E-07	3.57E-02	4.61E+03
262		3.95E-07	3.47E-02	4.50E+03
263		3.82E-07	3.36E-02	4.39E+03
264		3.68E-07	3.26E-02	4.28E+03
265		3.56E-07	3.16E-02	4.17E+03
266		3.43E-07	3.07E-02	4.06E+03
267		3.31E-07	2.97E-02	3.96E+03
268		3.20E-07	2.88E-02	3.86E+03
269		3.09E-07	2.79E-02	3.76E+03
270		2.98E-07	2.71E-02	3.66E+03
271		2.88E-07	2.63E-02	3.57E+03
272		2.78E-07	2.55E-02	3.48E+03
273		2.68E-07	2.47E-02	3.39E+03
274		2.59E-07	2.39E-02	3.30E+03
275		2.49E-07	2.32E-02	3.22E+03
276		2.41E-07	2.25E-02	3.13E+03
277		2.32E-07	2.18E-02	3.05E+03
278		2.24E-07	2.11E-02	2.97E+03
279		2.16E-07	2.04E-02	2.89E+03
280		2.08E-07	1.98E-02	2.82E+03
281		2.01E-07	1.92E-02	2.74E+03
282		1.93E-07	1.86E-02	2.67E+03
283		1.86E-07	1.80E-02	2.60E+03
284		1.80E-07	1.74E-02	2.53E+03
285		1.73E-07	1.68E-02	2.46E+03
286		1.67E-07	1.63E-02	2.39E+03
287		1.60E-07	1.58E-02	2.33E+03
288		1.55E-07	1.53E-02	2.26E+03
289		1.49E-07	1.48E-02	2.20E+03
290		1.43E-07	1.43E-02	2.14E+03
291		1.38E-07	1.38E-02	2.08E+03
292		1.33E-07	1.33E-02	2.02E+03
293		1.28E-07	1.29E-02	1.97E+03
294		1.23E-07	1.25E-02	1.91E+03
295		1.18E-07	1.20E-02	1.86E+03
296		1.13E-07	1.16E-02	1.80E+03
297		1.09E-07	1.12E-02	1.75E+03
298		1.05E-07	1.08E-02	1.70E+03
299		1.01E-07	1.05E-02	1.65E+03
300		9.66E-08	1.01E-02	1.60E+03
301		9.27E-08	9.74E-03	1.55E+03
302		8.90E-08	9.40E-03	1.51E+03
303		8.54E-08	9.06E-03	1.46E+03
304		8.19E-08	8.73E-03	1.42E+03
305		7.86E-08	8.42E-03	1.37E+03
306		7.54E-08	8.11E-03	1.33E+03
307		7.22E-08	7.81E-03	1.29E+03
308		6.92E-08	7.53E-03	1.25E+03
309		6.63E-08	7.25E-03	1.21E+03
310		6.35E-08	6.97E-03	1.17E+03
311		6.08E-08	6.71E-03	1.13E+03
312		5.82E-08	6.46E-03	1.10E+03
313		5.57E-08	6.21E-03	1.06E+03
314		5.33E-08	5.97E-03	1.03E+03
315		5.10E-08	5.74E-03	9.94E+02
316		4.88E-08	5.52E-03	9.60E+02
317		4.66E-08	5.30E-03	9.28E+02
318		4.46E-08	5.09E-03	8.97E+02
319		4.26E-08	4.89E-03	8.66E+02
320		4.07E-08	4.69E-03	8.37E+02
321		3.88E-08	4.50E-03	8.08E+02
322		3.71E-08	4.32E-03	7.80E+02
323		3.54E-08	4.14E-03	7.52E+02
324		3.37E-08	3.97E-03	7.25E+02
325		3.22E-08	3.81E-03	7.00E+02
326		3.07E-08	3.65E-03	6.75E+02
327		2.92E-08	3.50E-03	6.50E+02
328		2.79E-08	3.35E-03	6.26E+02
329		2.65E-08	3.21E-03	6.04E+02
330		2.53E-08	3.07E-03	5.81E+02
331		2.41E-08	2.94E-03	5.60E+02
332		2.29E-08	2.81E-03	5.39E+02
333		2.18E-08	2.69E-03	5.18E+02
334		2.07E-08	2.57E-03	4.98E+02
335		1.97E-08	2.46E-03	4.79E+02
336		1.87E-08	2.35E-03	4.61E+02
337		1.78E-08	2.24E-03	4.43E+02
338		1.69E-08	2.14E-03	4.26E+02
339		1.61E-08	2.04E-03	4.09E+02

