x,P(mm),A(mm2)
0,5.734905149,1.454
0.3768835,19.2212321,11.07614797
0.753767,31.30902561,22.57425677
1.1306505,41.42904602,36.33812829
1.507534,51.08387644,49.59401172
1.8844175,61.24851483,62.33194226
2.261301,72.8741485,76.05905403
2.6381845,87.63725555,92.80561761
3.015068,105.7897665,116.0496146
3.3919515,129.2760806,144.6159284
3.768835,156.8156542,179.6351096
4.1457185,190.1311503,219.8357694
4.522602,227.0325562,269.6977038
4.8994855,268.2861404,328.5268574
5.276369,313.3014662,405.356106
5.6532525,369.759447,489.4515872
6.030136,436.231592,586.2329213
6.4070195,510.2614737,677.1472743
6.783903,578.747493,772.0847691
7.1607865,640.7222555,862.5323176
7.53767,699.9313589,959.5088285
7.9145535,766.9815872,1061.766424
8.291437,846.2891706,1174.067843
8.6683205,937.7585362,1288.321101
9.045204,1032.713925,1399.278852
9.4220875,1127.043603,1497.521875
9.798971,1217.61367,1586.995429
10.1758545,1313.550542,1671.17809
10.552738,1418.707054,1755.951192
10.9296215,1532.71457,1841.879726
11.306505,1649.284373,1921.215268
11.6833885,1768.066227,1989.752255
12.060272,1893.457168,2039.957998
12.4371555,2027.262914,2082.147634
12.814039,2168.474379,2123.662547
13.1909225,2320.277901,2167.737648
13.567806,2484.738259,2210.95308
13.9446895,2661.322943,2250.976835
14.321573,2842.451781,2292.546321
14.6984565,3028.341545,2334.136328
15.07534,3217.24613,2377.712561
15.4522235,3410.467147,2426.905053
15.829107,3610.914606,2470.61623
16.2059905,3817.019303,2512.528822
16.582874,4031.595276,2543.303799
16.9597575,4241.772094,2589.64528
17.336641,4461.930302,2630.479056
17.7135245,4686.681106,2674.299967
18.090408,4921.203601,2710.274785
18.4672915,5178.857315,2745.724713
18.844175,5468.345638,2781.396077
19.2210585,5791.115588,2804.088284
19.597942,6080.724101,2842.236741
19.9748255,6331.060538,2878.873803
20.351709,6543.423859,2927.768422
20.7285925,6773.856127,2962.625561
21.105476,7018.225279,3001.223842
21.4823595,7269.496606,3039.824794
21.859243,7506.470183,3079.675091
22.2361265,7721.868448,3123.327549
22.61301,7935.155415,3161.09144
22.9898935,8146.081095,3207.17533
23.366777,8373.930159,3246.862319
23.7436605,8594.986582,3298.015274
24.120544,8817.624931,3343.835838
24.4974275,9027.052808,3398.261325
24.874311,9242.273058,3445.436833
25.2511945,9459.843992,3498.086294
25.628078,9683.824372,3539.979357
26.0049615,9890.196123,3584.211434
26.381845,10069.19614,3622.834286
26.7587285,10214.84161,3672.61356
27.135612,10352.69302,3721.75867
27.5124955,10508.05514,3768.425598
27.889379,10696.5098,3800.896094
28.2662625,10889.1918,3831.197429
28.643146,11063.07169,3863.133441
29.0200295,11203.45706,3899.616926
29.396913,11330.18623,3924.393952
29.7737965,11437.20673,3943.855442
30.15068,11531.74511,3954.832572
30.5275635,11606.5561,3969.797713
30.904447,11673.94721,3975.572174
31.2813305,11714.82664,3982.175748
31.658214,11734.31811,3986.408747
32.0350975,11736.51628,3990.904929
32.411981,11734.51384,3991.716605
32.7888645,11723.4138,3985.172471
33.165748,11689.80756,3981.509422
33.5426315,11659.86166,3964.011081
33.919515,11612.99005,3951.100098
34.2963985,11554.63234,3932.846321
34.673282,11450.18897,3928.588343
35.0501655,11334.51677,3917.301087
35.427049,11223.24433,3899.810905
35.8039325,11119.73868,3875.499968
36.180816,11005.93116,3852.484199
36.5576995,10861.55005,3831.752264
36.934583,10690.65859,3810.343273
37.3114665,10509.65082,3778.638258
37.68835,10315.21836,3748.715207
38.0652335,10117.80699,3716.303073
38.442117,9905.883049,3686.571869
38.8190005,9678.1261,3658.590377
39.195884,9440.18302,3624.304091
39.5727675,9192.559661,3593.737528
39.949651,8954.765755,3551.439234
40.3265345,8705.59973,3516.138566
40.703418,8453.929497,3472.925045
41.0803015,8203.877331,3424.512609
41.457185,7969.238152,3364.588966
41.8340685,7740.908019,3298.989594
42.210952,7512.566083,3229.870588
42.5878355,7288.750857,3155.774705
42.964719,7076.732476,3081.432827
43.3416025,6876.412777,3007.417081
43.718486,6676.575155,2935.14099
44.0953695,6481.304047,2865.514383
44.472253,6287.004595,2798.787291
44.8491365,6102.325783,2737.527162
45.22602,5921.053919,2673.088755
45.6029035,5743.242685,2617.776355
45.979787,5571.017644,2561.672986
46.3566705,5399.469758,2517.866307
46.733554,5235.769007,2466.210508
47.1104375,5070.152751,2413.827549
47.487321,4905.578662,2351.867117
47.8642045,4734.571877,2288.279562
48.241088,4559.572068,2225.326305
48.6179715,4377.687745,2165.235281
48.994855,4189.396889,2111.744359
49.3717385,3996.542008,2060.053935
49.748622,3801.197888,2009.482274
50.1255055,3604.444139,1954.450097
50.502389,3402.219703,1900.385786
50.8792725,3199.533901,1841.065861
51.256156,2994.288123,1774.458811
51.6330395,2774.012796,1703.902366
52.009923,2533.362991,1629.45366
52.3868065,2280.780657,1557.404613
52.76369,2050.785581,1472.384683
53.1405735,1847.038969,1387.888404
53.517457,1663.131696,1304.027433
53.8943405,1484.045521,1225.814545
54.271224,1311.524955,1138.592819
54.6481075,1145.813301,1032.820013
55.024991,985.3567612,909.2512965
55.4018745,827.2494252,778.8195467
55.778758,678.7746122,652.5667623
56.1556415,546.1908822,534.3204554
56.532525,433.9071018,421.0942911
56.9094085,340.4104243,316.3735263
57.286292,263.849893,227.2537138
57.6631755,206.9006214,161.3488587
58.040059,166.7627755,115.8113086
58.4169425,134.0040648,85.39051569
58.793826,100.1280085,62.86117856
59.1707095,66.14408934,44.97807633
59.547593,40.11612525,30.2718278
59.9244765,26.17196819,18.20389821
60.30136,19.86519374,10.33507816
60.6782435,15.42841344,5.575219309
61.055127,9.059988569,2.847766927
61.4320105,1.255,0.121749323
