index,arcticposition,arcticperimeter,arcticarea1,arcticarea2,arcticarea3,medposition,medperimeter,medarea1,medarea2,medarea3
0,0,5.73490514851667,1.03405973632598,1.454,1904.037,0,5.34508905136704,0.86929197614217,1.593,1688.487
1,0.3768835,18.5614960455425,4.11351235769236,6.821,1916.753,0.3015068,8.66480182564422,1.39768513811094,2.459,1690.659
2,0.753767,32.6092656225855,11.1473912234702,20.111,1932.286,0.6030136,12.966630582789,2.37492840540802,4.302,1695.79
3,1.1306505,39.0430694083094,16.2381468484596,34.121,1947.371,0.9045204,21.2126131426695,4.35214152761374,8.721,1698.634
4,1.507534,47.0651407511027,19.5732735804561,42.861,1951.329,1.2060272,33.8108550568352,5.77823490023913,22.587,1703.209
5,1.8844175,56.2856635539138,23.5561080593819,54.656,1967.25,1.507534,45.5393172968309,8.83496093399395,32.56,1710.619
6,2.261301,68.7375898337544,28.3173281640038,65.578,1977.141,1.8090408,55.8775580024396,11.1928443986933,46.525,1711.694
7,2.6381845,79.8920416423868,34.3569188217758,75.183,1976.429,2.1105476,73.3181981708771,14.1927539634192,63.877,1717.811
8,3.015068,92.3515436625866,42.612351771675,90.622,1985.136,2.4120544,81.2563979821429,15.3518099316088,74.094,1721.048
9,3.3919515,125.038404867934,54.2199563942793,129.577,2007.073,2.7135612,101.432026779536,19.1926032379624,90.325,1726.194
10,3.768835,141.461649936132,64.6855499894027,149.054,2029.472,3.015068,107.722652905016,20.4823370849185,92.207,1731.586
11,4.1457185,173.648958318496,76.7306414235295,187.267,2038.358,3.3165748,115.539102484994,20.658468138908,95.961,1735.61
12,4.522602,215.711533493083,91.3381556108597,228.017,2066.445,3.6180816,125.483089327424,22.931126900064,108.606,1737.935
13,4.8994855,252.012038532906,102.218509429894,288.315,2097.752,3.9195884,145.731875942056,25.8060402329264,129.065,1741.513
14,5.276369,285.355481909702,118.013487819928,341.807,2119.496,4.2210952,160.734596515712,28.7775415631379,156.039,1747.487
15,5.6532525,343.291857123181,132.700545063899,406.337,2144.838,4.522602,196.631433769811,35.0387164501226,187.745,1753.044
16,6.030136,394.462618791158,144.34223956792,512.763,2161.058,4.8241088,241.558323543645,42.873707529208,221.459,1761.85
17,6.4070195,494.097618276729,166.347258022813,618.328,2180.667,5.1256156,265.17097758126,47.6008377524124,262.581,1764.577
18,6.783903,555.79395295916,184.914880101458,693.059,2205.354,5.4271224,296.369894032398,53.10067195441,303.866,1770.122
19,7.1607865,601.004060078495,196.431578373616,770.068,2219.216,5.7286292,325.607716492243,60.4811312812641,384.235,1772.816
20,7.53767,655.82688267213,208.635755921024,842.499,2241.001,6.030136,375.68792524327,68.8615604630268,436.798,1779.535
21,7.9145535,713.079510729369,217.663892849716,910.204,2259.105,6.3316428,419.785290617282,82.0032097494114,506.892,1777.598
22,8.291437,784.092253251268,230.703272491848,1027.701,2271.588,6.6331496,470.247739725303,95.0880425667671,537.529,1781.275
23,8.6683205,884.050186963307,248.151610130624,1152.694,2293.68,6.9346564,501.73041191359,103.263932460026,593.656,1781.25
24,9.045204,974.309472482653,265.827213645514,1239.855,2314.119,7.2361632,547.840601667402,111.496638822313,627.398,1777.226
25,9.4220875,1070.31437686144,275.173522800769,1364.319,2333.2,7.53767,590.277841458473,125.581441494578,676.338,1786.678
26,9.798971,1141.83554773435,285.036861824186,1403.778,2348.049,7.8391768,634.74857165843,136.001581914478,733.69,1790.004
27,10.1758545,1230.23330066253,299.479608251332,1461.149,2368.306,8.1406836,672.248827949036,144.450190859075,780.759,1784.365
28,10.552738,1324.6543752506,312.547396127979,1543.655,2387.852,8.4421904,714.838659323047,150.086384586742,818.352,1790.138
29,10.9296215,1445.13229942277,321.973248339873,1649.699,2407.654,8.7436972,752.447352548595,155.483949144488,863.624,1795.502
